date,year_month,sensor,cloud_coverage,cloud_class
2014-01-02,2014-01,Landsat,99.0,cloudy
2014-01-02,2014-01,Landsat,96.0,cloudy
2014-01-02,2014-01,Landsat,95.0,cloudy
2014-01-02,2014-01,Landsat,100.0,cloudy
2014-01-02,2014-01,Landsat,100.0,cloudy
2014-01-02,2014-01,Landsat,100.0,cloudy
2014-01-04,2014-01,Landsat,2.0,partial_cloud
2014-01-04,2014-01,Landsat,2.0,partial_cloud
2014-01-04,2014-01,Landsat,3.0,partial_cloud
2014-01-04,2014-01,Landsat,3.0,partial_cloud
2014-01-04,2014-01,Landsat,6.0,partial_cloud
2014-01-04,2014-01,Landsat,1.0,partial_cloud
2014-01-04,2014-01,Landsat,78.0,cloudy
2014-01-04,2014-01,Landsat,65.0,cloudy
2014-01-04,2014-01,Landsat,28.0,partial_cloud
2014-01-04,2014-01,Landsat,9.0,partial_cloud
2014-01-04,2014-01,Landsat,4.0,partial_cloud
2014-01-04,2014-01,Landsat,8.0,partial_cloud
2014-01-04,2014-01,Landsat,10.0,partial_cloud
2014-01-04,2014-01,Landsat,29.0,partial_cloud
2014-01-04,2014-01,Landsat,4.0,partial_cloud
2014-01-04,2014-01,Landsat,2.0,partial_cloud
2014-01-04,2014-01,Landsat,1.0,partial_cloud
2014-01-04,2014-01,Landsat,10.0,partial_cloud
2014-01-04,2014-01,Landsat,31.0,partial_cloud
2014-01-04,2014-01,Landsat,7.0,partial_cloud
2014-01-04,2014-01,Landsat,0.0,cloud_free
2014-01-04,2014-01,Landsat,8.0,partial_cloud
2014-01-04,2014-01,Landsat,8.0,partial_cloud
2014-01-04,2014-01,Landsat,11.0,partial_cloud
2014-01-04,2014-01,Landsat,18.0,partial_cloud
2014-01-04,2014-01,Landsat,5.0,partial_cloud
2014-01-04,2014-01,Landsat,5.0,partial_cloud
2014-01-04,2014-01,Landsat,5.0,partial_cloud
2014-01-04,2014-01,Landsat,22.0,partial_cloud
2014-01-06,2014-01,Landsat,100.0,cloudy
2014-01-06,2014-01,Landsat,97.0,cloudy
2014-01-06,2014-01,Landsat,85.0,cloudy
2014-01-06,2014-01,Landsat,98.0,cloudy
2014-01-06,2014-01,Landsat,85.0,cloudy
2014-01-06,2014-01,Landsat,98.0,cloudy
2014-01-06,2014-01,Landsat,100.0,cloudy
2014-01-06,2014-01,Landsat,92.0,cloudy
2014-01-06,2014-01,Landsat,89.0,cloudy
2014-01-11,2014-01,Landsat,100.0,cloudy
2014-01-11,2014-01,Landsat,100.0,cloudy
2014-01-11,2014-01,Landsat,100.0,cloudy
2014-01-11,2014-01,Landsat,94.0,cloudy
2014-01-11,2014-01,Landsat,100.0,cloudy
2014-01-11,2014-01,Landsat,100.0,cloudy
2014-01-11,2014-01,Landsat,100.0,cloudy
2014-01-11,2014-01,Landsat,100.0,cloudy
2014-01-11,2014-01,Landsat,92.0,cloudy
2014-01-11,2014-01,Landsat,72.0,cloudy
2014-01-11,2014-01,Landsat,65.0,cloudy
2014-01-11,2014-01,Landsat,93.0,cloudy
2014-01-11,2014-01,Landsat,99.0,cloudy
2014-01-11,2014-01,Landsat,62.0,cloudy
2014-01-11,2014-01,Landsat,92.0,cloudy
2014-01-11,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,98.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,98.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,77.0,cloudy
2014-01-13,2014-01,Landsat,82.0,cloudy
2014-01-13,2014-01,Landsat,100.0,cloudy
2014-01-13,2014-01,Landsat,61.0,cloudy
2014-01-13,2014-01,Landsat,94.0,cloudy
2014-01-13,2014-01,Landsat,72.0,cloudy
2014-01-13,2014-01,Landsat,72.0,cloudy
2014-01-13,2014-01,Landsat,2.0,partial_cloud
2014-01-13,2014-01,Landsat,11.0,partial_cloud
2014-01-13,2014-01,Landsat,15.0,partial_cloud
2014-01-13,2014-01,Landsat,8.0,partial_cloud
2014-01-13,2014-01,Landsat,10.0,partial_cloud
2014-01-18,2014-01,Landsat,41.0,partial_cloud
2014-01-18,2014-01,Landsat,1.0,partial_cloud
2014-01-18,2014-01,Landsat,61.0,cloudy
2014-01-18,2014-01,Landsat,75.0,cloudy
2014-01-18,2014-01,Landsat,0.0,cloud_free
2014-01-18,2014-01,Landsat,66.0,cloudy
2014-01-18,2014-01,Landsat,87.0,cloudy
2014-01-18,2014-01,Landsat,93.0,cloudy
2014-01-18,2014-01,Landsat,66.0,cloudy
2014-01-20,2014-01,Landsat,34.0,partial_cloud
2014-01-20,2014-01,Landsat,35.0,partial_cloud
2014-01-20,2014-01,Landsat,28.0,partial_cloud
2014-01-20,2014-01,Landsat,9.0,partial_cloud
2014-01-20,2014-01,Landsat,71.0,cloudy
2014-01-20,2014-01,Landsat,69.0,cloudy
2014-01-20,2014-01,Landsat,13.0,partial_cloud
2014-01-20,2014-01,Landsat,1.0,partial_cloud
2014-01-20,2014-01,Landsat,61.0,cloudy
2014-01-20,2014-01,Landsat,61.0,cloudy
2014-01-20,2014-01,Landsat,100.0,cloudy
2014-01-20,2014-01,Landsat,100.0,cloudy
2014-01-20,2014-01,Landsat,39.0,partial_cloud
2014-01-20,2014-01,Landsat,96.0,cloudy
2014-01-20,2014-01,Landsat,100.0,cloudy
2014-01-20,2014-01,Landsat,2.0,partial_cloud
2014-01-20,2014-01,Landsat,14.0,partial_cloud
2014-01-20,2014-01,Landsat,23.0,partial_cloud
2014-01-20,2014-01,Landsat,84.0,cloudy
2014-01-20,2014-01,Landsat,20.0,partial_cloud
2014-01-20,2014-01,Landsat,0.0,cloud_free
2014-01-20,2014-01,Landsat,6.0,partial_cloud
2014-01-20,2014-01,Landsat,7.0,partial_cloud
2014-01-20,2014-01,Landsat,7.0,partial_cloud
2014-01-20,2014-01,Landsat,10.0,partial_cloud
2014-01-20,2014-01,Landsat,1.0,partial_cloud
2014-01-20,2014-01,Landsat,0.0,cloud_free
2014-01-20,2014-01,Landsat,2.0,partial_cloud
2014-01-20,2014-01,Landsat,0.0,cloud_free
2014-01-22,2014-01,Landsat,15.0,partial_cloud
2014-01-22,2014-01,Landsat,1.0,partial_cloud
2014-01-22,2014-01,Landsat,3.0,partial_cloud
2014-01-22,2014-01,Landsat,34.0,partial_cloud
2014-01-22,2014-01,Landsat,4.0,partial_cloud
2014-01-22,2014-01,Landsat,33.0,partial_cloud
2014-01-22,2014-01,Landsat,0.0,cloud_free
2014-01-22,2014-01,Landsat,4.0,partial_cloud
2014-01-22,2014-01,Landsat,4.0,partial_cloud
2014-01-25,2014-01,Landsat,33.0,partial_cloud
2014-01-25,2014-01,Landsat,7.0,partial_cloud
2014-01-27,2014-01,Landsat,99.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-01-27,2014-01,Landsat,99.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-01-27,2014-01,Landsat,99.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-01-27,2014-01,Landsat,100.0,cloudy
2014-02-03,2014-02,Landsat,15.0,partial_cloud
2014-02-03,2014-02,Landsat,47.0,partial_cloud
2014-02-03,2014-02,Landsat,21.0,partial_cloud
2014-02-03,2014-02,Landsat,16.0,partial_cloud
2014-02-03,2014-02,Landsat,0.0,cloud_free
2014-02-03,2014-02,Landsat,80.0,cloudy
2014-02-03,2014-02,Landsat,82.0,cloudy
2014-02-03,2014-02,Landsat,66.0,cloudy
2014-02-03,2014-02,Landsat,38.0,partial_cloud
2014-02-05,2014-02,Landsat,52.0,cloudy
2014-02-05,2014-02,Landsat,30.0,partial_cloud
2014-02-05,2014-02,Landsat,76.0,cloudy
2014-02-05,2014-02,Landsat,80.0,cloudy
2014-02-05,2014-02,Landsat,19.0,partial_cloud
2014-02-05,2014-02,Landsat,3.0,partial_cloud
2014-02-05,2014-02,Landsat,15.0,partial_cloud
2014-02-05,2014-02,Landsat,25.0,partial_cloud
2014-02-05,2014-02,Landsat,30.0,partial_cloud
2014-02-05,2014-02,Landsat,37.0,partial_cloud
2014-02-05,2014-02,Landsat,36.0,partial_cloud
2014-02-05,2014-02,Landsat,27.0,partial_cloud
2014-02-05,2014-02,Landsat,25.0,partial_cloud
2014-02-05,2014-02,Landsat,34.0,partial_cloud
2014-02-05,2014-02,Landsat,43.0,partial_cloud
2014-02-05,2014-02,Landsat,57.0,cloudy
2014-02-05,2014-02,Landsat,30.0,partial_cloud
2014-02-05,2014-02,Landsat,91.0,cloudy
2014-02-05,2014-02,Landsat,93.0,cloudy
2014-02-05,2014-02,Landsat,28.0,partial_cloud
2014-02-05,2014-02,Landsat,71.0,cloudy
2014-02-05,2014-02,Landsat,36.0,partial_cloud
2014-02-05,2014-02,Landsat,43.0,partial_cloud
2014-02-05,2014-02,Landsat,22.0,partial_cloud
2014-02-05,2014-02,Landsat,52.0,cloudy
2014-02-05,2014-02,Landsat,26.0,partial_cloud
2014-02-05,2014-02,Landsat,10.0,partial_cloud
2014-02-05,2014-02,Landsat,6.0,partial_cloud
2014-02-05,2014-02,Landsat,7.0,partial_cloud
2014-02-07,2014-02,Landsat,100.0,cloudy
2014-02-07,2014-02,Landsat,100.0,cloudy
2014-02-07,2014-02,Landsat,100.0,cloudy
2014-02-07,2014-02,Landsat,100.0,cloudy
2014-02-07,2014-02,Landsat,100.0,cloudy
2014-02-07,2014-02,Landsat,100.0,cloudy
2014-02-12,2014-02,Landsat,91.0,cloudy
2014-02-12,2014-02,Landsat,80.0,cloudy
2014-02-12,2014-02,Landsat,49.0,partial_cloud
2014-02-12,2014-02,Landsat,77.0,cloudy
2014-02-12,2014-02,Landsat,72.0,cloudy
2014-02-12,2014-02,Landsat,7.0,partial_cloud
2014-02-12,2014-02,Landsat,61.0,cloudy
2014-02-12,2014-02,Landsat,95.0,cloudy
2014-02-12,2014-02,Landsat,65.0,cloudy
2014-02-12,2014-02,Landsat,60.0,cloudy
2014-02-12,2014-02,Landsat,69.0,cloudy
2014-02-12,2014-02,Landsat,100.0,cloudy
2014-02-12,2014-02,Landsat,93.0,cloudy
2014-02-12,2014-02,Landsat,100.0,cloudy
2014-02-12,2014-02,Landsat,87.0,cloudy
2014-02-14,2014-02,Landsat,63.0,cloudy
2014-02-14,2014-02,Landsat,95.0,cloudy
2014-02-14,2014-02,Landsat,100.0,cloudy
2014-02-14,2014-02,Landsat,79.0,cloudy
2014-02-14,2014-02,Landsat,69.0,cloudy
2014-02-14,2014-02,Landsat,93.0,cloudy
